director_id,name,country_of_origin,date_of_birth
1,Christopher Nolan,United Kingdom,1970-07-30
2,Bong Joon-ho,South Korea,1969-09-14
3,Ridley Scott,United Kingdom,1937-11-30
4,Todd Phillips,United States,1970-12-20
